cancer_label,CSU_RANK,hdi_group,cl_ord,sex,type,country_code,cancer_code,cases,asr,hdi_value,country_label,area_code,area_label
"Bladder",94,0,1,2,0,108,30,51,1.81,.311,"Burundi",1,"Eastern Africa"
"Brain, CNS",94,1,2,2,0,504,31,503,2.42,.551,"Morocco",3,"Northern Africa"
"Breast",94,2,3,2,0,458,20,8371,46.09,.723,"Malaysia",11,"South-Eastern Asia"
"Colorectum",94,0,4,2,0,116,8,914,11.52,.457,"Cambodia",11,"South-Eastern Asia"
"Pancreas",94,1,5,2,0,860,13,525,3.18,.614,"Uzbekistan",12,"South Central Asia"
"Kidney",94,1,6,2,0,818,29,951,1.97,.622,"Egypt",3,"Northern Africa"
"Lung",94,1,7,2,0,68,15,394,5.97,.637,"Bolivia",8,"South America"
"NHL",94,2,8,2,0,242,34,21,4.25,.7,"Fiji",19,"Melanesia"
"Corpus uteri",94,1,9,2,0,328,24,32,6.99,.622,"Guyana",8,"South America"
"Thyroid",94,1,10,2,0,558,32,208,5.74,.589,"Nicaragua",7,"Central America"
"Leukaemia",94,2,11,2,0,32,36,1307,4.27,.781,"Argentina",8,"South America"
"Ovary",94,3,12,2,0,442,25,46,6.07,.869,"Luxembourg",17,"Western Europe"
"Hodgkin lymphoma",94,0,13,2,0,894,33,44,.88,.441,"Zambia",1,"Eastern Africa"
"Multiple myeloma",94,1,14,2,0,266,35,8,1.16,.626,"Gabon",2,"Middle Africa"
"Melanoma of skin",94,0,15,2,0,140,16,12,.94,.328,"Central African Republic",2,"Middle Africa"
"Mesothelioma",94,0,16,2,0,894,18,3,.05,.441,"Zambia",1,"Eastern Africa"
"Cervix uteri",94,1,17,2,0,160,23,150659,13.83,.606,"China",10,"Eastern Asia"
"Liver",94,3,18,2,0,250,11,3457,3.41,.852,"France (metropolitan)",17,"Western Europe"
"Nasopharynx",94,2,19,2,0,780,4,2,.22,.726,"Trinidad and Tobago",6,"Caribbean"
"Kaposi sarcoma",94,2,20,2,0,348,19,4,.03,.788,"Hungary",14,"Eastern Europe"
"Oesophagus",94,3,21,2,0,312,6,5,1.01,.842,"France, Guadeloupe",6,"Caribbean"
"Vagina",94,3,22,2,0,528,22,60,.3,.885,"The Netherlands",17,"Western Europe"
"Gallbladder",94,1,23,2,0,662,12,1,.78,.693,"Saint Lucia",6,"Caribbean"
"Larynx",94,1,24,2,0,417,14,10,.32,.63,"Kyrgyzstan",12,"South Central Asia"
"Hypopharynx",94,3,25,2,0,705,5,3,.09,.85,"Slovenia",16,"Southern Europe"
"Lip, oral cavity",94,1,26,2,0,795,1,40,1.34,.666,"Turkmenistan",12,"South Central Asia"
"Oropharynx",94,2,27,2,0,784,3,4,.19,.792,"United Arab Emirates",13,"Western Asia"
"Vulva",94,3,28,2,0,630,21,35,.73,.865,"Puerto Rico",6,"Caribbean"
"Salivary glands",94,3,29,2,0,40,2,41,.38,.847,"Austria",17,"Western Europe"
"Stomach",94,0,30,2,0,288,7,433,4.13,.499,"Ghana",5,"Western Africa"
"Bladder",95,1,1,2,0,275,30,27,1.81,.651,"Gaza Strip and West Bank",13,"Western Asia"
"Brain, CNS",95,1,2,2,0,604,31,442,2.41,.688,"Peru",8,"South America"
"Breast",95,0,3,2,0,598,20,1663,46.03,.462,"Papua New Guinea",19,"Melanesia"
"Colorectum",95,2,4,2,0,414,8,175,11.52,.78,"Kuwait",13,"Western Asia"
"Pancreas",95,2,5,2,0,422,13,123,3.15,.74,"Lebanon",13,"Western Asia"
"Kidney",95,1,6,2,0,710,29,551,1.89,.619,"South Africa",4,"Southern Africa"
"Lung",95,0,7,2,0,626,15,28,5.97,.503,"Timor-Leste",11,"South-Eastern Asia"
"NHL",95,0,8,2,0,288,34,588,4.23,.499,"Ghana",5,"Western Africa"
"Corpus uteri",95,1,9,2,0,417,24,232,6.89,.63,"Kyrgyzstan",12,"South Central Asia"
"Thyroid",95,1,10,2,0,760,32,565,5.7,.607,"Syrian Arab Republic",13,"Western Asia"
"Leukaemia",95,1,11,2,0,662,36,6,4.26,.693,"Saint Lucia",6,"Caribbean"
"Ovary",95,1,12,2,0,862,25,1062,6.06,.692,"Venezuela",8,"South America"
"Hodgkin lymphoma",95,1,13,2,0,558,33,31,.85,.589,"Nicaragua",7,"Central America"
"Multiple myeloma",95,1,14,2,0,218,35,119,1.15,.684,"Ecuador",8,"South America"
"Melanoma of skin",95,1,15,2,0,760,16,80,.93,.607,"Syrian Arab Republic",13,"Western Asia"
"Mesothelioma",95,1,16,2,0,76,18,65,.04,.699,"Brazil",8,"South America"
"Cervix uteri",95,2,17,2,0,52,23,36,13.75,.774,"Barbados",6,"Caribbean"
"Liver",95,2,18,2,0,458,11,630,3.41,.723,"Malaysia",11,"South-Eastern Asia"
"Nasopharynx",95,3,19,2,0,56,4,16,.21,.886,"Belgium",17,"Western Europe"
"Kaposi sarcoma",95,3,20,2,0,752,19,5,.03,.908,"Sweden",15,"Northern Europe"
"Oesophagus",95,2,21,2,0,512,6,11,.99,.714,"Oman",13,"Western Asia"
"Vagina",95,2,22,2,0,804,22,145,.3,.717,"Ukraine",14,"Eastern Europe"
"Gallbladder",95,0,23,2,0,716,12,36,.78,.423,"Zimbabwe",1,"Eastern Africa"
"Larynx",95,0,24,2,0,466,14,18,.32,.334,"Mali",5,"Western Africa"
"Hypopharynx",95,0,25,2,0,180,5,19,.08,.358,"Congo, Democratic Republic of",2,"Middle Africa"
"Lip, oral cavity",95,0,26,2,0,800,1,141,1.34,.427,"Uganda",1,"Eastern Africa"
"Oropharynx",95,2,27,2,0,242,3,1,.18,.7,"Fiji",19,"Melanesia"
"Vulva",95,0,28,2,0,686,21,38,.69,.41,"Senegal",5,"Western Africa"
"Salivary glands",95,2,29,2,0,52,2,1,.38,.774,"Barbados",6,"Caribbean"
"Stomach",95,0,30,2,0,108,7,121,4.12,.311,"Burundi",1,"Eastern Africa"
"Bladder",96,1,1,2,0,764,30,1344,1.78,.669,"Thailand",11,"South-Eastern Asia"
"Brain, CNS",96,0,2,2,0,624,31,16,2.39,.403,"Guinea-Bissau",5,"Western Africa"
"Breast",96,0,3,2,0,384,20,3869,45.44,.426,"Côte d'Ivoire",5,"Western Africa"
"Colorectum",96,1,4,2,0,504,8,2554,11.4,.551,"Morocco",3,"Northern Africa"
"Pancreas",96,1,5,2,0,340,13,132,3.11,.575,"Honduras",7,"Central America"
"Kidney",96,1,6,2,0,760,29,157,1.87,.607,"Syrian Arab Republic",13,"Western Asia"
"Lung",96,1,7,2,0,462,15,10,5.9,.63,"Maldives",12,"South Central Asia"
"NHL",96,3,8,2,0,474,34,20,4.22,.859,"France, Martinique",6,"Caribbean"
"Corpus uteri",96,1,9,2,0,764,24,4248,6.89,.669,"Thailand",11,"South-Eastern Asia"
"Thyroid",96,3,10,2,0,233,32,69,5.67,.805,"Estonia",15,"Northern Europe"
"Leukaemia",96,1,11,2,0,31,36,210,4.24,.651,"Azerbaijan",13,"Western Asia"
"Ovary",96,1,12,2,0,31,25,390,5.94,.651,"Azerbaijan",13,"Western Asia"
"Hodgkin lymphoma",96,2,13,2,0,48,33,5,.81,.795,"Bahrain",13,"Western Asia"
"Multiple myeloma",96,1,14,2,0,8,35,30,1.14,.684,"Albania",16,"Southern Europe"
"Melanoma of skin",96,0,15,2,0,226,16,3,.92,.546,"Equatorial Guinea",2,"Middle Africa"
"Mesothelioma",96,0,16,2,0,450,18,3,.04,.464,"Madagascar",1,"Eastern Africa"
"Cervix uteri",96,2,17,2,0,440,23,296,13.69,.785,"Lithuania",15,"Northern Europe"
"Liver",96,0,18,2,0,586,11,2705,3.38,.462,"Pakistan",12,"South Central Asia"
"Nasopharynx",96,3,19,2,0,250,4,95,.21,.852,"France (metropolitan)",17,"Western Europe"
"Kaposi sarcoma",96,2,20,2,0,804,19,12,.03,.717,"Ukraine",14,"Eastern Europe"
"Oesophagus",96,1,21,2,0,388,6,20,.97,.692,"Jamaica",6,"Caribbean"
"Vagina",96,0,22,2,0,178,22,5,.29,.471,"Congo, Republic of",2,"Middle Africa"
"Gallbladder",96,2,23,2,0,804,12,425,.77,.717,"Ukraine",14,"Eastern Europe"
"Larynx",96,1,24,2,0,604,14,67,.32,.688,"Peru",8,"South America"
"Hypopharynx",96,1,25,2,0,268,5,4,.08,.699,"Georgia",13,"Western Asia"
"Lip, oral cavity",96,1,26,2,0,504,1,302,1.32,.551,"Morocco",3,"Northern Africa"
"Oropharynx",96,2,27,2,0,458,3,35,.18,.723,"Malaysia",11,"South-Eastern Asia"
"Vulva",96,2,28,2,0,188,21,30,.67,.728,"Costa Rica",7,"Central America"
"Salivary glands",96,2,29,2,0,428,2,10,.38,.767,"Latvia",15,"Northern Europe"
"Stomach",96,3,30,2,0,300,7,697,4.12,.826,"Greece",16,"Southern Europe"
"Bladder",97,2,1,2,0,804,30,978,1.78,.717,"Ukraine",14,"Eastern Europe"
"Brain, CNS",97,0,2,2,0,716,31,135,2.37,.423,"Zimbabwe",1,"Eastern Africa"
"Breast",97,3,3,2,0,316,20,53,44.15,.844,"Guam",20,"Micronesia"
"Colorectum",97,1,4,2,0,760,8,921,11.36,.607,"Syrian Arab Republic",13,"Western Asia"
"Pancreas",97,2,5,2,0,414,13,37,3.09,.78,"Kuwait",13,"Western Asia"
"Kidney",97,1,6,2,0,788,29,140,1.87,.664,"Tunisia",3,"Northern Africa"
"Lung",97,1,7,2,0,417,15,185,5.74,.63,"Kyrgyzstan",12,"South Central Asia"
"NHL",97,1,8,2,0,608,34,2331,4.21,.638,"Philippines",11,"South-Eastern Asia"
"Corpus uteri",97,1,9,2,0,275,24,107,6.87,.651,"Gaza Strip and West Bank",13,"Western Asia"
"Thyroid",97,1,10,2,0,84,32,10,5.58,.651,"Belize",7,"Central America"
"Leukaemia",97,3,11,2,0,410,36,1443,4.22,.837,"Korea, Republic of",10,"Eastern Asia"
"Ovary",97,1,12,2,0,408,25,1123,5.9,.595,"Korea, Democratic People Republic of",10,"Eastern Asia"
"Hodgkin lymphoma",97,1,13,2,0,222,33,31,.77,.627,"El Salvador",7,"Central America"
"Multiple myeloma",97,3,14,2,0,392,35,3177,1.13,.864,"Japan",10,"Eastern Asia"
"Melanoma of skin",97,0,15,2,0,728,16,30,.91,.41,"South Sudan",1,"Eastern Africa"
"Mesothelioma",97,1,16,2,0,807,18,1,.04,.688,"North Macedonia",16,"Southern Europe"
"Cervix uteri",97,1,17,2,0,170,23,4570,13.68,.671,"Colombia",8,"South America"
"Liver",97,1,18,2,0,862,11,651,3.35,.692,"Venezuela",8,"South America"
"Nasopharynx",97,1,19,2,0,364,4,95,.21,.67,"Iran, Islamic Republic of",12,"South Central Asia"
"Kaposi sarcoma",97,1,20,2,0,818,19,13,.03,.622,"Egypt",3,"Northern Africa"
"Oesophagus",97,3,21,2,0,40,6,106,.96,.847,"Austria",17,"Western Europe"
"Vagina",97,3,22,2,0,380,22,280,.29,.85,"Italy",16,"Southern Europe"
"Gallbladder",97,3,23,2,0,36,12,236,.76,.907,"Australia",18,"Australia/New Zealand"
"Larynx",97,2,24,2,0,620,14,38,.32,.799,"Portugal",16,"Southern Europe"
"Hypopharynx",97,1,25,2,0,340,5,4,.08,.575,"Honduras",7,"Central America"
"Lip, oral cavity",97,0,26,2,0,834,1,219,1.32,.407,"Tanzania, United Republic of",1,"Eastern Africa"
"Oropharynx",97,1,27,2,0,704,3,114,.18,.602,"Viet Nam",11,"South-Eastern Asia"
"Vulva",97,1,28,2,0,328,21,3,.67,.622,"Guyana",8,"South America"
"Salivary glands",97,3,29,2,0,616,2,175,.38,.804,"Poland",14,"Eastern Europe"
"Stomach",97,1,30,2,0,862,7,796,4.12,.692,"Venezuela",8,"South America"
"Bladder",98,0,1,2,0,478,30,28,1.77,.467,"Mauritania",5,"Western Africa"
"Brain, CNS",98,0,2,2,0,887,31,314,2.33,.461,"Yemen",13,"Western Asia"
"Breast",98,2,3,2,0,804,20,18096,43.08,.717,"Ukraine",14,"Eastern Europe"
"Colorectum",98,3,4,2,0,254,8,17,11.35,.817,"French Guyana",8,"South America"
"Pancreas",98,2,5,2,0,48,13,14,3.04,.795,"Bahrain",13,"Western Asia"
"Kidney",98,1,6,2,0,417,29,60,1.85,.63,"Kyrgyzstan",12,"South Central Asia"
"Lung",98,1,7,2,0,112,15,593,5.48,.699,"Belarus",14,"Eastern Europe"
"NHL",98,0,8,2,0,108,34,176,4.18,.311,"Burundi",1,"Eastern Africa"
"Corpus uteri",98,1,9,2,0,160,24,77722,6.84,.606,"China",10,"Eastern Asia"
"Thyroid",98,0,10,2,0,231,32,2352,5.44,.315,"Ethiopia",1,"Eastern Africa"
"Leukaemia",98,2,11,2,0,48,36,22,4.18,.795,"Bahrain",13,"Western Asia"
"Ovary",98,0,12,2,0,120,25,490,5.85,.458,"Cameroon",2,"Middle Africa"
"Hodgkin lymphoma",98,0,13,2,0,90,33,3,.74,.486,"Solomon Islands",19,"Melanesia"
"Multiple myeloma",98,0,14,2,0,24,35,84,1.12,.426,"Angola",2,"Middle Africa"
"Melanoma of skin",98,0,15,2,0,174,16,2,.89,.475,"Comoros",1,"Eastern Africa"
"Mesothelioma",98,1,16,2,0,862,18,7,.04,.692,"Venezuela",8,"South America"
"Cervix uteri",98,0,17,2,0,64,23,49,13.56,.52,"Bhutan",12,"South Central Asia"
"Liver",98,1,18,2,0,328,11,15,3.33,.622,"Guyana",8,"South America"
"Nasopharynx",98,0,19,2,0,478,4,4,.21,.467,"Mauritania",5,"Western Africa"
"Kaposi sarcoma",98,3,20,2,0,826,19,18,.03,.881,"United Kingdom",15,"Northern Europe"
"Oesophagus",98,1,21,2,0,600,6,34,.92,.662,"Paraguay",8,"South America"
"Vagina",98,0,22,2,0,586,22,252,.29,.462,"Pakistan",12,"South Central Asia"
"Gallbladder",98,2,23,2,0,643,12,1518,.76,.734,"Russian Federation",14,"Eastern Europe"
"Larynx",98,2,24,2,0,398,14,39,.31,.714,"Kazakhstan",12,"South Central Asia"
"Hypopharynx",98,1,25,2,0,388,5,2,.08,.692,"Jamaica",6,"Caribbean"
"Lip, oral cavity",98,1,26,2,0,170,1,494,1.31,.671,"Colombia",8,"South America"
"Oropharynx",98,0,27,2,0,288,3,21,.17,.499,"Ghana",5,"Western Africa"
"Vulva",98,1,28,2,0,218,21,73,.66,.684,"Ecuador",8,"South America"
"Salivary glands",98,0,29,2,0,50,2,300,.37,.492,"Bangladesh",12,"South Central Asia"
"Stomach",98,0,30,2,0,430,7,66,4.11,.437,"Liberia",5,"Western Africa"
"Bladder",99,3,1,2,0,638,30,17,1.71,.822,"France, La Réunion",1,"Eastern Africa"
"Brain, CNS",99,1,2,2,0,68,31,142,2.31,.637,"Bolivia",8,"South America"
"Breast",99,1,3,2,0,360,20,66271,41.78,.615,"Indonesia",11,"South-Eastern Asia"
"Colorectum",99,1,4,2,0,710,8,3465,11.26,.619,"South Africa",4,"Southern Africa"
"Pancreas",99,0,5,2,0,678,13,2,3,.511,"Sao Tome and Principe",2,"Middle Africa"
"Kidney",99,1,6,2,0,608,29,993,1.83,.638,"Philippines",11,"South-Eastern Asia"
"Lung",99,1,7,2,0,480,15,63,5.34,.692,"Mauritius",1,"Eastern Africa"
"NHL",99,3,8,2,0,634,34,23,4.16,.822,"Qatar",13,"Western Asia"
"Corpus uteri",99,2,9,2,0,152,24,1026,6.78,.769,"Chile",8,"South America"
"Thyroid",99,1,10,2,0,462,32,12,5.35,.63,"Maldives",12,"South Central Asia"
"Leukaemia",99,0,11,2,0,706,36,240,4.17,.285,"Somalia",1,"Eastern Africa"
"Ovary",99,2,12,2,0,620,25,682,5.83,.799,"Portugal",16,"Southern Europe"
"Hodgkin lymphoma",99,2,13,2,0,144,33,89,.73,.703,"Sri Lanka",12,"South Central Asia"
"Multiple myeloma",99,0,14,2,0,586,35,913,1.12,.462,"Pakistan",12,"South Central Asia"
"Melanoma of skin",99,0,15,2,0,508,16,83,.85,.327,"Mozambique",1,"Eastern Africa"
"Mesothelioma",99,2,16,2,0,188,18,1,.03,.728,"Costa Rica",7,"Central America"
"Cervix uteri",99,2,17,2,0,688,23,906,13.35,.726,"Serbia",16,"Southern Europe"
"Liver",99,1,18,2,0,170,11,1333,3.32,.671,"Colombia",8,"South America"
"Nasopharynx",99,0,19,2,0,516,4,2,.21,.541,"Namibia",4,"Southern Africa"
"Kaposi sarcoma",99,3,20,2,0,840,19,116,.03,.891,"United States of America",9,"Northern America"
"Oesophagus",99,3,21,2,0,616,6,440,.92,.804,"Poland",14,"Eastern Europe"
"Vagina",99,1,22,2,0,51,22,8,.28,.682,"Armenia",13,"Western Asia"
"Gallbladder",99,1,23,2,0,266,12,6,.75,.626,"Gabon",2,"Middle Africa"
"Larynx",99,1,24,2,0,795,14,9,.31,.666,"Turkmenistan",12,"South Central Asia"
"Hypopharynx",99,1,25,2,0,496,5,1,.08,.608,"Mongolia",10,"Eastern Asia"
"Lip, oral cavity",99,2,26,2,0,642,1,321,1.31,.731,"Romania",14,"Eastern Europe"
"Oropharynx",99,1,27,2,0,388,3,3,.17,.692,"Jamaica",6,"Caribbean"
"Vulva",99,3,28,2,0,312,21,5,.66,.842,"France, Guadeloupe",6,"Caribbean"
"Salivary glands",99,0,29,2,0,450,2,40,.37,.464,"Madagascar",1,"Eastern Africa"
"Stomach",99,2,30,2,0,32,7,1590,4.1,.781,"Argentina",8,"South America"
"Bladder",100,1,1,2,0,710,30,525,1.7,.619,"South Africa",4,"Southern Africa"
"Brain, CNS",100,3,2,2,0,392,31,2518,2.28,.864,"Japan",10,"Eastern Asia"
"Breast",100,2,3,2,0,591,20,1089,41.39,.744,"Panama",7,"Central America"
"Colorectum",100,1,4,2,0,704,8,7402,11,.602,"Viet Nam",11,"South-Eastern Asia"
"Pancreas",100,2,5,2,0,400,13,112,2.95,.715,"Jordan",13,"Western Asia"
"Kidney",100,0,6,2,0,232,29,25,1.82,.427,"Eritrea",1,"Eastern Africa"
"Lung",100,2,7,2,0,48,15,25,5.33,.795,"Bahrain",13,"Western Asia"
"NHL",100,3,8,2,0,616,34,1892,4.15,.804,"Poland",14,"Eastern Europe"
"Corpus uteri",100,1,9,2,0,604,24,1326,6.5,.688,"Peru",8,"South America"
"Thyroid",100,2,10,2,0,499,32,23,5.21,.773,"Montenegro",16,"Southern Europe"
"Leukaemia",100,0,11,2,0,887,36,505,4.14,.461,"Yemen",13,"Western Asia"
"Ovary",100,1,12,2,0,604,25,1164,5.78,.688,"Peru",8,"South America"
"Hodgkin lymphoma",100,0,13,2,0,404,33,169,.73,.465,"Kenya",1,"Eastern Africa"
"Multiple myeloma",100,1,14,2,0,340,35,46,1.08,.575,"Honduras",7,"Central America"
"Melanoma of skin",100,2,15,2,0,591,16,23,.84,.744,"Panama",7,"Central America"
"Mesothelioma",100,1,16,2,0,360,18,42,.03,.615,"Indonesia",11,"South-Eastern Asia"
"Cervix uteri",100,1,17,2,0,882,23,11,13.29,.659,"Samoa",21,"Polynesia"
"Liver",100,1,18,2,0,76,11,5660,3.3,.699,"Brazil",8,"South America"
"Nasopharynx",100,2,19,2,0,858,4,5,.21,.749,"Uruguay",8,"South America"
"Kaposi sarcoma",100,3,20,2,0,40,19,2,.02,.847,"Austria",17,"Western Europe"
"Oesophagus",100,3,21,2,0,203,6,116,.91,.821,"Czechia",14,"Eastern Europe"
"Vagina",100,1,22,2,0,76,22,462,.28,.699,"Brazil",8,"South America"
"Gallbladder",100,2,23,2,0,784,12,11,.74,.792,"United Arab Emirates",13,"Western Asia"
"Larynx",100,1,24,2,0,12,14,68,.3,.657,"Algeria",3,"Northern Africa"
"Hypopharynx",100,0,25,2,0,108,5,2,.07,.311,"Burundi",1,"Eastern Africa"
"Lip, oral cavity",100,1,26,2,0,792,1,790,1.31,.677,"Türkiye",13,"Western Asia"
"Oropharynx",100,2,27,2,0,434,3,4,.17,.79,"Libya",3,"Northern Africa"
"Vulva",100,0,28,2,0,288,21,70,.65,.499,"Ghana",5,"Western Africa"
"Salivary glands",100,0,29,2,0,562,2,30,.37,.273,"Niger",5,"Western Africa"
"Stomach",100,1,30,2,0,480,7,49,4.01,.692,"Mauritius",1,"Eastern Africa"
"Bladder",101,1,1,2,0,498,30,78,1.69,.663,"Moldova",14,"Eastern Europe"
"Brain, CNS",101,2,2,2,0,484,31,1620,2.28,.718,"Mexico",7,"Central America"
"Breast",101,0,3,2,0,226,20,174,40.99,.546,"Equatorial Guinea",2,"Middle Africa"
"Colorectum",101,1,4,2,0,788,8,900,10.97,.664,"Tunisia",3,"Northern Africa"
"Pancreas",101,3,5,2,0,316,13,5,2.92,.844,"Guam",20,"Micronesia"
"Kidney",101,0,6,2,0,729,29,302,1.82,.415,"Sudan",3,"Northern Africa"
"Lung",101,3,7,2,0,44,15,15,5.32,.8,"Bahamas",6,"Caribbean"
"NHL",101,3,8,2,0,638,34,33,4.13,.822,"France, La Réunion",1,"Eastern Africa"
"Corpus uteri",101,1,9,2,0,662,24,8,6.5,.693,"Saint Lucia",6,"Caribbean"
"Thyroid",101,2,10,2,0,688,32,373,5.21,.726,"Serbia",16,"Southern Europe"
"Leukaemia",101,0,11,2,0,598,36,157,4.13,.462,"Papua New Guinea",19,"Melanesia"
"Ovary",101,0,12,2,0,140,25,86,5.77,.328,"Central African Republic",2,"Middle Africa"
"Hodgkin lymphoma",101,0,13,2,0,108,33,33,.72,.311,"Burundi",1,"Eastern Africa"
"Multiple myeloma",101,1,14,2,0,364,35,495,1.07,.67,"Iran, Islamic Republic of",12,"South Central Asia"
"Melanoma of skin",101,0,15,2,0,646,16,36,.83,.366,"Rwanda",1,"Eastern Africa"
"Mesothelioma",101,0,16,2,0,524,18,4,.03,.464,"Nepal",12,"South Central Asia"
"Cervix uteri",101,2,17,2,0,484,23,10348,13.18,.718,"Mexico",7,"Central America"
"Liver",101,0,18,2,0,232,11,41,3.3,.427,"Eritrea",1,"Eastern Africa"
"Nasopharynx",101,1,19,2,0,604,4,39,.19,.688,"Peru",8,"South America"
"Kaposi sarcoma",101,1,20,2,0,160,19,169,.02,.606,"China",10,"Eastern Asia"
"Oesophagus",101,2,21,2,0,682,6,98,.91,.748,"Saudi Arabia",13,"Western Asia"
"Vagina",101,1,22,2,0,218,22,30,.28,.684,"Ecuador",8,"South America"
"Gallbladder",101,3,23,2,0,40,12,103,.73,.847,"Austria",17,"Western Europe"
"Larynx",101,0,24,2,0,404,14,44,.3,.465,"Kenya",1,"Eastern Africa"
"Hypopharynx",101,3,25,2,0,246,5,4,.07,.874,"Finland",15,"Northern Europe"
"Lip, oral cavity",101,0,26,2,0,120,1,86,1.3,.458,"Cameroon",2,"Middle Africa"
"Oropharynx",101,1,27,2,0,818,3,79,.17,.622,"Egypt",3,"Northern Africa"
"Vulva",101,3,28,2,0,702,21,38,.63,.833,"Singapore",11,"South-Eastern Asia"
"Salivary glands",101,2,29,2,0,688,2,40,.37,.726,"Serbia",16,"Southern Europe"
"Stomach",101,1,30,2,0,328,7,17,3.99,.622,"Guyana",8,"South America"
"Bladder",102,0,1,2,0,426,30,17,1.67,.446,"Lesotho",4,"Southern Africa"
"Brain, CNS",102,0,2,2,0,404,31,418,2.26,.465,"Kenya",1,"Eastern Africa"
"Breast",102,0,3,2,0,231,20,16904,40.81,.315,"Ethiopia",1,"Eastern Africa"
"Colorectum",102,1,4,2,0,268,8,520,10.82,.699,"Georgia",13,"Western Asia"
"Pancreas",102,1,5,2,0,364,13,1305,2.9,.67,"Iran, Islamic Republic of",12,"South Central Asia"
"Kidney",102,1,6,2,0,558,29,61,1.79,.589,"Nicaragua",7,"Central America"
"Lung",102,1,7,2,0,31,15,346,5.16,.651,"Azerbaijan",13,"Western Asia"
"NHL",102,1,8,2,0,710,34,1300,4.07,.619,"South Africa",4,"Southern Africa"
"Corpus uteri",102,1,9,2,0,558,24,216,6.37,.589,"Nicaragua",7,"Central America"
"Thyroid",102,1,10,2,0,764,32,2734,5.2,.669,"Thailand",11,"South-Eastern Asia"
"Leukaemia",102,3,11,2,0,44,36,10,4.12,.8,"Bahamas",6,"Caribbean"
"Ovary",102,3,12,2,0,634,25,30,5.76,.822,"Qatar",13,"Western Asia"
"Hodgkin lymphoma",102,1,13,2,0,417,33,23,.69,.63,"Kyrgyzstan",12,"South Central Asia"
"Multiple myeloma",102,1,14,2,0,70,35,41,1.06,.689,"Bosnia Herzegovina",16,"Southern Europe"
"Melanoma of skin",102,0,15,2,0,430,16,13,.82,.437,"Liberia",5,"Western Africa"
"Mesothelioma",102,1,16,2,0,214,18,1,.02,.668,"Dominican Republic",6,"Caribbean"
"Cervix uteri",102,2,17,2,0,703,23,557,12.93,.773,"Slovakia",14,"Eastern Europe"
"Liver",102,3,18,2,0,380,11,3802,3.3,.85,"Italy",16,"Southern Europe"
"Nasopharynx",102,1,19,2,0,76,4,263,.18,.699,"Brazil",8,"South America"
"Kaposi sarcoma",102,2,20,2,0,191,19,2,.02,.774,"Croatia",16,"Southern Europe"
"Oesophagus",102,3,21,2,0,233,6,17,.9,.805,"Estonia",15,"Northern Europe"
"Vagina",102,2,22,2,0,400,22,11,.28,.715,"Jordan",13,"Western Asia"
"Gallbladder",102,1,23,2,0,84,12,1,.73,.651,"Belize",7,"Central America"
"Larynx",102,0,24,2,0,566,14,159,.3,.45,"Nigeria",5,"Western Africa"
"Hypopharynx",102,1,25,2,0,360,5,102,.07,.615,"Indonesia",11,"South-Eastern Asia"
"Lip, oral cavity",102,2,26,2,0,512,1,17,1.3,.714,"Oman",13,"Western Asia"
"Oropharynx",102,1,27,2,0,417,3,5,.16,.63,"Kyrgyzstan",12,"South Central Asia"
"Vulva",102,0,28,2,0,148,21,30,.62,.307,"Chad",2,"Middle Africa"
"Salivary glands",102,3,29,2,0,44,2,1,.36,.8,"Bahamas",6,"Caribbean"
"Stomach",102,1,30,2,0,192,7,546,3.97,.698,"Cuba",6,"Caribbean"
"Bladder",103,1,1,2,0,132,30,5,1.58,.583,"Cape Verde",5,"Western Africa"
"Brain, CNS",103,2,2,2,0,458,31,380,2.25,.723,"Malaysia",11,"South-Eastern Asia"
"Breast",103,0,3,2,0,404,20,7243,40.77,.465,"Kenya",1,"Eastern Africa"
"Colorectum",103,2,4,2,0,242,8,48,10.74,.7,"Fiji",19,"Melanesia"
"Pancreas",103,0,5,2,0,332,13,153,2.85,.446,"Haiti",6,"Caribbean"
"Kidney",103,0,6,2,0,706,29,106,1.78,.285,"Somalia",1,"Eastern Africa"
"Lung",103,2,7,2,0,780,15,65,5.12,.726,"Trinidad and Tobago",6,"Caribbean"
"NHL",103,1,8,2,0,12,34,933,4.06,.657,"Algeria",3,"Northern Africa"
"Corpus uteri",103,0,9,2,0,854,24,362,6.26,.303,"Burkina Faso",5,"Western Africa"
"Thyroid",103,1,10,2,0,408,32,868,5.17,.595,"Korea, Democratic People Republic of",10,"Eastern Asia"
"Leukaemia",103,1,11,2,0,408,36,676,4.12,.595,"Korea, Democratic People Republic of",10,"Eastern Asia"
"Ovary",103,2,12,2,0,400,25,240,5.74,.715,"Jordan",13,"Western Asia"
"Hodgkin lymphoma",103,2,13,2,0,780,33,6,.69,.726,"Trinidad and Tobago",6,"Caribbean"
"Multiple myeloma",103,1,14,2,0,160,35,13497,1.06,.606,"China",10,"Eastern Asia"
"Melanoma of skin",103,1,15,2,0,558,16,28,.79,.589,"Nicaragua",7,"Central America"
"Mesothelioma",103,1,16,2,0,364,18,8,.02,.67,"Iran, Islamic Republic of",12,"South Central Asia"
"Cervix uteri",103,1,17,2,0,480,23,136,12.9,.692,"Mauritius",1,"Eastern Africa"
"Liver",103,0,18,2,0,894,11,155,3.29,.441,"Zambia",1,"Eastern Africa"
"Nasopharynx",103,3,19,2,0,528,4,25,.18,.885,"The Netherlands",17,"Western Europe"
