cancer_label,CSU_RANK,hdi_group,cl_ord,sex,type,country_code,cancer_code,cases,asr,hdi_value,country_label,area_code,area_label
"Liver",3,0,18,2,0,148,11,674,15.35,.307,"Chad",2,"Middle Africa"
"Nasopharynx",3,2,19,2,0,458,4,510,2.82,.723,"Malaysia",11,"South-Eastern Asia"
"Kaposi sarcoma",3,0,20,2,0,454,19,691,7.92,.357,"Malawi",1,"Eastern Africa"
"Oesophagus",3,0,21,2,0,404,6,1724,12.18,.465,"Kenya",1,"Eastern Africa"
"Vagina",3,0,22,2,0,894,22,46,.97,.441,"Zambia",1,"Eastern Africa"
"Gallbladder",3,2,23,2,0,152,12,1311,7.43,.769,"Chile",8,"South America"
"Larynx",3,2,24,2,0,348,14,128,1.34,.788,"Hungary",14,"Eastern Europe"
"Hypopharynx",3,2,25,2,0,348,5,85,.96,.788,"Hungary",14,"Eastern Europe"
"Lip, oral cavity",3,0,26,2,0,586,1,5170,6.19,.462,"Pakistan",12,"South Central Asia"
"Oropharynx",3,3,27,2,0,203,3,175,1.6,.821,"Czechia",14,"Eastern Europe"
"Vulva",3,3,28,2,0,208,21,197,2.83,.89,"Denmark",15,"Northern Europe"
"Salivary glands",3,0,29,2,0,24,2,92,1.11,.426,"Angola",2,"Middle Africa"
"Stomach",3,3,30,2,0,392,7,42653,15.94,.864,"Japan",10,"Eastern Asia"
"Bladder",4,3,1,2,0,124,30,3982,7.93,.877,"Canada",9,"Northern America"
"Brain, CNS",4,3,2,2,0,578,31,263,6.03,.917,"Norway",15,"Northern Europe"
"Breast",4,3,3,2,0,528,20,15919,101.6,.885,"The Netherlands",17,"Western Europe"
"Colorectum",4,3,4,2,0,554,8,1815,32.45,.888,"New Zealand",18,"Australia/New Zealand"
"Pancreas",4,3,5,2,0,40,13,1069,8.27,.847,"Austria",17,"Western Europe"
"Kidney",4,1,6,2,0,882,29,7,8.27,.659,"Samoa",21,"Polynesia"
"Lung",4,3,7,2,0,372,15,1529,30.41,.881,"Ireland",15,"Northern Europe"
"NHL",4,3,8,2,0,376,34,693,10.64,.873,"Israel",13,"Western Asia"
"Corpus uteri",4,1,9,2,0,112,24,2295,24.31,.699,"Belarus",14,"Eastern Europe"
"Thyroid",4,2,10,2,0,258,32,51,28.63,.791,"French Polynesia",21,"Polynesia"
"Leukaemia",4,3,11,2,0,196,36,101,8.79,.819,"Cyprus",16,"Southern Europe"
"Ovary",4,2,12,2,0,440,25,366,12.77,.785,"Lithuania",15,"Northern Europe"
"Hodgkin lymphoma",4,3,13,2,0,380,33,967,3.08,.85,"Italy",16,"Southern Europe"
