cancer_label,CSU_RANK,hdi_group,group1,group2,group3,cl_ord,sex,type,country_code,cancer_code,cases,asr,hdi_value,country_label,area_code,area_label
"Gallbladder",4,0,1,2,3,25,0,0,524,12,1152,4.36,.464,"Nepal",12,"South Central Asia"
"Stomach",4,1,1,2,3,26,0,0,762,7,1195,19.43,.573,"Tajikistan",12,"South Central Asia"
"Oesophagus",4,0,1,2,3,27,0,0,800,6,2438,13.24,.427,"Uganda",1,"Eastern Africa"
"Salivary glands",4,0,1,2,3,28,0,0,90,2,7,1.15,.486,"Solomon Islands",19,"Melanesia"
"Hypopharynx",4,1,1,2,3,29,0,0,112,5,380,2.43,.699,"Belarus",14,"Eastern Europe"
"Larynx",4,2,1,2,3,30,0,0,348,14,815,4.5,.788,"Hungary",14,"Eastern Europe"
"Lip, oral cavity",4,0,1,2,3,31,0,0,586,1,15915,9.17,.462,"Pakistan",12,"South Central Asia"
"Ovary",4,2,1,2,3,32,0,0,440,25,366,12.77,.785,"Lithuania",15,"Northern Europe"
"Vulva",4,0,1,2,3,33,0,0,426,21,27,2.76,.446,"Lesotho",4,"Southern Africa"
"Bladder",5,3,1,1,1,1,0,0,208,30,2501,16.75,.89,"Denmark",15,"Northern Europe"
"Mesothelioma",5,3,1,1,1,2,0,0,380,18,2337,1.14,.85,"Italy",16,"Southern Europe"
"Breast",5,3,1,1,1,3,0,0,36,20,21931,101.47,.907,"Australia",18,"Australia/New Zealand"
"Colorectum",5,2,1,1,1,4,0,0,191,8,4190,41.06,.774,"Croatia",16,"Southern Europe"
"Kidney",5,3,1,1,1,5,0,0,840,29,71759,12.77,.891,"United States of America",9,"Northern America"
"Leukaemia",5,3,1,1,1,6,0,0,56,36,2222,10.45,.886,"Belgium",17,"Western Europe"
"Multiple myeloma",5,3,1,1,1,7,0,0,840,35,32258,4.75,.891,"United States of America",9,"Northern America"
"Pancreas",5,3,1,1,1,8,0,0,40,13,2159,9.36,.847,"Austria",17,"Western Europe"
"NHL",5,3,1,1,1,9,0,0,36,34,5906,12.38,.907,"Australia",18,"Australia/New Zealand"
"Corpus uteri",5,3,1,1,1,10,0,0,840,24,66055,22.47,.891,"United States of America",9,"Northern America"
"Thyroid",5,2,1,1,1,11,0,0,348,32,1834,16.27,.788,"Hungary",14,"Eastern Europe"
"Lung",5,2,1,1,1,12,0,0,258,15,154,39.96,.791,"French Polynesia",21,"Polynesia"
"Brain, CNS",5,1,1,1,1,13,0,0,8,31,279,7.02,.684,"Albania",16,"Southern Europe"
"Hodgkin lymphoma",5,2,1,1,1,14,0,0,703,33,176,3.07,.773,"Slovakia",14,"Eastern Europe"
"Testis",5,2,1,1,1,15,0,0,191,28,221,11.33,.774,"Croatia",16,"Southern Europe"
"Melanoma of skin",5,3,1,1,1,16,0,0,752,16,5259,27.42,.908,"Sweden",15,"Northern Europe"
"Prostate",5,3,1,1,1,17,0,0,752,27,11732,104.27,.908,"Sweden",15,"Northern Europe"
"Oropharynx",5,1,1,1,1,18,0,0,192,3,706,3.37,.698,"Cuba",6,"Caribbean"
"Cervix uteri",5,0,1,2,2,19,0,0,834,23,10868,64.75,.407,"Tanzania, United Republic of",1,"Eastern Africa"
"Nasopharynx",5,3,1,2,2,20,0,0,702,4,540,5.44,.833,"Singapore",11,"South-Eastern Asia"
"Liver",5,1,1,2,2,21,0,0,764,11,27936,22.65,.669,"Thailand",11,"South-Eastern Asia"
"Kaposi sarcoma",5,0,1,2,2,22,0,0,800,19,4047,11.14,.427,"Uganda",1,"Eastern Africa"
"Vagina",5,1,1,2,2,23,0,0,662,22,1,.87,.693,"Saint Lucia",6,"Caribbean"
"Penis",5,0,1,2,2,24,0,0,800,26,316,3.08,.427,"Uganda",1,"Eastern Africa"
"Gallbladder",5,1,1,2,3,25,0,0,12,12,1193,2.65,.657,"Algeria",3,"Northern Africa"
"Stomach",5,1,1,2,3,26,0,0,364,7,17191,19.37,.67,"Iran, Islamic Republic of",12,"South Central Asia"
"Oesophagus",5,0,1,2,3,27,0,0,404,6,3340,13.03,.465,"Kenya",1,"Eastern Africa"
"Salivary glands",5,0,1,2,3,28,0,0,204,2,76,1.04,.438,"Benin",5,"Western Africa"
"Hypopharynx",5,2,1,2,3,29,0,0,642,5,770,2.36,.731,"Romania",14,"Eastern Europe"
"Larynx",5,1,1,2,3,30,0,0,268,14,297,4.35,.699,"Georgia",13,"Western Asia"
"Lip, oral cavity",5,2,1,2,3,31,0,0,144,1,2556,8.08,.703,"Sri Lanka",12,"South Central Asia"
"Ovary",5,3,1,2,3,32,0,0,616,25,4678,12.22,.804,"Poland",14,"Eastern Europe"
"Vulva",5,1,1,2,3,33,0,0,72,21,34,2.61,.579,"Botswana",4,"Southern Africa"
"Bladder",6,3,1,1,1,1,0,0,124,30,15111,15.61,.877,"Canada",9,"Northern America"
"Mesothelioma",6,3,1,1,1,2,0,0,56,18,334,1.12,.886,"Belgium",17,"Western Europe"
"Breast",6,3,1,1,1,3,0,0,442,20,565,99.7,.869,"Luxembourg",17,"Western Europe"
"Colorectum",6,3,1,1,1,4,0,0,554,8,4070,38.95,.888,"New Zealand",18,"Australia/New Zealand"
"Kidney",6,2,1,1,1,5,0,0,643,29,29109,11.82,.734,"Russian Federation",14,"Eastern Europe"
"Leukaemia",6,3,1,1,1,6,0,0,208,36,1166,10.11,.89,"Denmark",15,"Northern Europe"
