CI5_volume	id_code	id_label	asr_m	asr_f	mf_ratio	vol_med	flag
7	146600199	Mali, Bamako	0.79	1.16	0.681034482758621	1.38414303774607	female_heavy
7	435600799	India, Barshi, Paranda, and Bhum	0.35	0.54	0.648148148148148	1.38414303774607	female_heavy
7	384010299	USA, Louisiana, Central Region	0.56	0.89	0.629213483146068	1.38414303774607	female_heavy
7	538006799	Italy, Trieste	0.8	1.45	0.551724137931035	1.38414303774607	female_heavy
7	538000599	Italy, Parma	0.58	1.11	0.522522522522522	1.38414303774607	female_heavy
7	575600799	Switzerland, Graubunden	0.92	2.16	0.425925925925926	1.38414303774607	female_heavy
7	547000099	Malta	0.41	1.02	0.401960784313726	1.38414303774607	female_heavy
7	575600399	Switzerland, Neuchâtel	0.22	0.62	0.354838709677419	1.38414303774607	female_heavy
7	572400999	Spain, Albacete	0.63	1.83	0.344262295081967	1.38414303774607	female_heavy
8	538001299	Italy, Ferrara	3.31	0.19	17.421052631579	1.35616438356164	male_heavy
8	435600999	India, Karunagappally	1.21	0.09	13.4444444444444	1.35616438356164	male_heavy
8	504000899	Austria, Vorarlberg	1.48	0.21	7.04761904761905	1.35616438356164	male_heavy
8	561600599	Poland, Warsaw City	1.32	0.33	4	1.35616438356164	male_heavy
8	575601099	Switzerland, Ticino	0.93	0.27	3.44444444444444	1.35616438356164	male_heavy
8	125009099	France, La Réunion	0.88	0.28	3.14285714285714	1.35616438356164	male_heavy
8	603600899	Australia, Northern Territory	1.06	0.34	3.11764705882353	1.35616438356164	male_heavy
8	582601099	UK, England, Yorkshire	0.8	0.26	3.07692307692308	1.35616438356164	male_heavy
8	415600299	China, Qidong City	2.38	0.81	2.93827160493827	1.35616438356164	male_heavy
8	312400499	Canada, Northwest Territories	1.21	0.42	2.88095238095238	1.35616438356164	male_heavy
8	575600399	Switzerland, Neuchâtel	0.64	1.06	0.60377358490566	1.35616438356164	female_heavy
8	575600199	Switzerland, Basel	0.76	1.35	0.562962962962963	1.35616438356164	female_heavy
8	312400799	Canada, Prince Edward Island	0.74	1.36	0.544117647058824	1.35616438356164	female_heavy
8	575600299	Switzerland, Geneva	0.84	1.59	0.528301886792453	1.35616438356164	female_heavy
8	561600199	Poland, Cracow	0.62	1.26	0.492063492063492	1.35616438356164	female_heavy
8	476400599	Thailand, Lampang	0.27	0.56	0.482142857142857	1.35616438356164	female_heavy
9	535200099	Iceland	1.76	0.15	11.7333333333333	1.34579439252336	male_heavy
9	504000899	Austria, Vorarlberg	1.02	0.16	6.375	1.34579439252336	male_heavy
9	575601199	Switzerland, Graubünden and Glarus	0.81	0.14	5.78571428571429	1.34579439252336	male_heavy
9	435600999	India, Karunagappally	0.89	0.17	5.23529411764706	1.34579439252336	male_heavy
9	225009199	France, Martinique	1.42	0.35	4.05714285714286	1.34579439252336	male_heavy
9	312400699	Canada, Nova Scotia	1.21	0.36	3.36111111111111	1.34579439252336	male_heavy
9	538001199	Italy, Macerata Province	1.28	0.39	3.28205128205128	1.34579439252336	male_heavy
9	439200399	Japan, Nagasaki Prefecture	0.82	0.26	3.15384615384615	1.34579439252336	male_heavy
9	538000499	Italy, Varese	0.96	0.32	3	1.34579439252336	male_heavy
9	312400799	Canada, Prince Edward Island	0.14	0.21	0.666666666666667	1.34579439252336	female_heavy
9	572400199	Spain, Tarragona	0.87	1.43	0.608391608391608	1.34579439252336	female_heavy
9	603600899	Australia, Northern Territory	0.4	0.77	0.51948051948052	1.34579439252336	female_heavy
10	538001599	Italy, Sassari	1.64	0.31	5.29032258064516	1.2938478143551	male_heavy
10	575600899	Switzerland, Valais	1.04	0.2	5.2	1.2938478143551	male_heavy
10	538001999	Italy, Trento	1.38	0.37	3.72972972972973	1.2938478143551	male_heavy
10	538003999	Italy, Lecco	2.23	0.6	3.71666666666667	1.2938478143551	male_heavy
10	547000099	Malta	1.47	0.44	3.34090909090909	1.2938478143551	male_heavy
10	435600799	India, Barshi, Paranda, and Bhum	0.98	0.3	3.26666666666667	1.2938478143551	male_heavy
10	504000799	Austria, Tyrol	1.27	0.41	3.09756097560976	1.2938478143551	male_heavy
10	538000599	Italy, Parma	1.64	0.54	3.03703703703704	1.2938478143551	male_heavy
10	538001799	Italy, Biella	1.47	0.51	2.88235294117647	1.2938478143551	male_heavy
10	215200399	Chile, Region of Antofagasta	1.68	0.59	2.84745762711864	1.2938478143551	male_heavy
