country_code,country_label,risk,cause_num,cause,year,pop2015,hdi,rank
380,"Italy",10.93969,0,"Major NCDs",2008,59504212,2,15
380,"Italy",10.80747,0,"Major NCDs",2009,59504212,2,15
380,"Italy",10.33899,0,"Major NCDs",2010,59504212,2,15
380,"Italy",10.26465,0,"Major NCDs",2011,59504212,2,15
380,"Italy",10.11419,0,"Major NCDs",2012,59504212,2,15
380,"Italy",9.780645,0,"Major NCDs",2013,59504212,2,15
380,"Italy",9.663904,0,"Major NCDs",2014,59504212,2,15
380,"Italy",12.32159,0,"Major NCDs",2015,,2,15
380,"Italy",11.95482,0,"Major NCDs",2016,,2,15
398,"Kazakhstan",39.06525,0,"Major NCDs",2000,17749648,1,7
398,"Kazakhstan",38.37108,0,"Major NCDs",2001,17749648,1,7
398,"Kazakhstan",38.12993,0,"Major NCDs",2002,17749648,1,7
398,"Kazakhstan",39.39238,0,"Major NCDs",2003,17749648,1,7
398,"Kazakhstan",38.57297,0,"Major NCDs",2004,17749648,1,7
398,"Kazakhstan",38.93683,0,"Major NCDs",2005,17749648,1,7
398,"Kazakhstan",37.94325,0,"Major NCDs",2006,17749648,1,7
398,"Kazakhstan",37.3833,0,"Major NCDs",2007,17749648,1,7
398,"Kazakhstan",35.52908,0,"Major NCDs",2008,17749648,1,7
398,"Kazakhstan",33.40907,0,"Major NCDs",2009,17749648,1,7
398,"Kazakhstan",32.86198,0,"Major NCDs",2010,17749648,1,7
398,"Kazakhstan",31.2047,0,"Major NCDs",2011,17749648,1,7
398,"Kazakhstan",30.17976,0,"Major NCDs",2012,17749648,1,7
398,"Kazakhstan",28.56489,0,"Major NCDs",2013,17749648,1,7
398,"Kazakhstan",28.35651,0,"Major NCDs",2014,17749648,1,7
398,"Kazakhstan",37.64201,0,"Major NCDs",2015,,1,7
398,"Kazakhstan",35.57045,0,"Major NCDs",2016,,1,7
417,"Kyrgyzstan",31.40189,0,"Major NCDs",2000,5865401,1,3
417,"Kyrgyzstan",30.17024,0,"Major NCDs",2001,5865401,1,3
417,"Kyrgyzstan",31.28625,0,"Major NCDs",2002,5865401,1,3
417,"Kyrgyzstan",32.50139,0,"Major NCDs",2003,5865401,1,3
417,"Kyrgyzstan",31.55052,0,"Major NCDs",2004,5865401,1,3
417,"Kyrgyzstan",32.29722,0,"Major NCDs",2005,5865401,1,3
417,"Kyrgyzstan",32.47428,0,"Major NCDs",2006,5865401,1,3
417,"Kyrgyzstan",32.49358,0,"Major NCDs",2007,5865401,1,3
417,"Kyrgyzstan",31.2028,0,"Major NCDs",2008,5865401,1,3
417,"Kyrgyzstan",30.46804,0,"Major NCDs",2009,5865401,1,3
417,"Kyrgyzstan",27.77846,0,"Major NCDs",2010,5865401,1,3
417,"Kyrgyzstan",27.72908,0,"Major NCDs",2011,5865401,1,3
417,"Kyrgyzstan",26.18937,0,"Major NCDs",2012,5865401,1,3
417,"Kyrgyzstan",26.00866,0,"Major NCDs",2013,5865401,1,3
417,"Kyrgyzstan",27.04184,0,"Major NCDs",2014,5865401,1,3
417,"Kyrgyzstan",34.00574,0,"Major NCDs",2015,,1,3
417,"Kyrgyzstan",33.12634,0,"Major NCDs",2016,,1,3
498,"Republic of Moldova",31.8809,0,"Major NCDs",2000,4065980,1,8
498,"Republic of Moldova",30.35158,0,"Major NCDs",2001,4065980,1,8
498,"Republic of Moldova",31.34596,0,"Major NCDs",2002,4065980,1,8
498,"Republic of Moldova",31.32644,0,"Major NCDs",2003,4065980,1,8
498,"Republic of Moldova",30.75153,0,"Major NCDs",2004,4065980,1,8
498,"Republic of Moldova",31.56093,0,"Major NCDs",2005,4065980,1,8
498,"Republic of Moldova",30.54382,0,"Major NCDs",2006,4065980,1,8
498,"Republic of Moldova",29.70977,0,"Major NCDs",2007,4065980,1,8
498,"Republic of Moldova",28.63018,0,"Major NCDs",2008,4065980,1,8
498,"Republic of Moldova",29.2197,0,"Major NCDs",2009,4065980,1,8
498,"Republic of Moldova",29.52066,0,"Major NCDs",2010,4065980,1,8
498,"Republic of Moldova",26.65258,0,"Major NCDs",2011,4065980,1,8
498,"Republic of Moldova",25.84711,0,"Major NCDs",2012,4065980,1,8
498,"Republic of Moldova",24.90506,0,"Major NCDs",2013,4065980,1,8
498,"Republic of Moldova",26.01422,0,"Major NCDs",2014,4065980,1,8
498,"Republic of Moldova",37.51417,0,"Major NCDs",2015,,1,8
498,"Republic of Moldova",34.80687,0,"Major NCDs",2016,,1,8
528,"Netherlands",16.22992,0,"Major NCDs",2000,16938499,2,22
528,"Netherlands",15.74554,0,"Major NCDs",2001,16938499,2,22
528,"Netherlands",15.55569,0,"Major NCDs",2002,16938499,2,22
528,"Netherlands",14.9753,0,"Major NCDs",2003,16938499,2,22
528,"Netherlands",14.45405,0,"Major NCDs",2004,16938499,2,22
528,"Netherlands",13.89978,0,"Major NCDs",2005,16938499,2,22
528,"Netherlands",13.42982,0,"Major NCDs",2006,16938499,2,22
528,"Netherlands",13.17857,0,"Major NCDs",2007,16938499,2,22
528,"Netherlands",12.96903,0,"Major NCDs",2008,16938499,2,22
528,"Netherlands",12.626,0,"Major NCDs",2009,16938499,2,22
528,"Netherlands",12.45358,0,"Major NCDs",2010,16938499,2,22
528,"Netherlands",12.07324,0,"Major NCDs",2011,16938499,2,22
528,"Netherlands",11.99712,0,"Major NCDs",2012,16938499,2,22
528,"Netherlands",11.60981,0,"Major NCDs",2013,16938499,2,22
528,"Netherlands",11.14404,0,"Major NCDs",2014,16938499,2,22
528,"Netherlands",14.09089,0,"Major NCDs",2015,,2,22
528,"Netherlands",14.00033,0,"Major NCDs",2016,,2,22
578,"Norway",14.20134,0,"Major NCDs",2000,5199836,2,14
578,"Norway",13.87098,0,"Major NCDs",2001,5199836,2,14
578,"Norway",13.78438,0,"Major NCDs",2002,5199836,2,14
578,"Norway",13.00241,0,"Major NCDs",2003,5199836,2,14
578,"Norway",12.56291,0,"Major NCDs",2004,5199836,2,14
578,"Norway",12.23887,0,"Major NCDs",2005,5199836,2,14
578,"Norway",11.984,0,"Major NCDs",2006,5199836,2,14
578,"Norway",11.94901,0,"Major NCDs",2007,5199836,2,14
578,"Norway",11.67662,0,"Major NCDs",2008,5199836,2,14
578,"Norway",11.28971,0,"Major NCDs",2009,5199836,2,14
578,"Norway",11.3005,0,"Major NCDs",2010,5199836,2,14
578,"Norway",10.83427,0,"Major NCDs",2011,5199836,2,14
578,"Norway",10.68286,0,"Major NCDs",2012,5199836,2,14
578,"Norway",10.5078,0,"Major NCDs",2013,5199836,2,14
578,"Norway",9.806396,0,"Major NCDs",2014,5199836,2,14
578,"Norway",12.05597,0,"Major NCDs",2015,,2,14
578,"Norway",11.96782,0,"Major NCDs",2016,,2,14
643,"Russian Federation",36.96184,0,"Major NCDs",2000,143900000,1,10
643,"Russian Federation",37.22696,0,"Major NCDs",2001,143900000,1,10
643,"Russian Federation",38.03559,0,"Major NCDs",2002,143900000,1,10
643,"Russian Federation",38.31977,0,"Major NCDs",2003,143900000,1,10
643,"Russian Federation",37.25437,0,"Major NCDs",2004,143900000,1,10
643,"Russian Federation",37.02798,0,"Major NCDs",2005,143900000,1,10
643,"Russian Federation",34.22778,0,"Major NCDs",2006,143900000,1,10
643,"Russian Federation",32.89427,0,"Major NCDs",2007,143900000,1,10
643,"Russian Federation",32.97605,0,"Major NCDs",2008,143900000,1,10
643,"Russian Federation",31.33346,0,"Major NCDs",2009,143900000,1,10
643,"Russian Federation",30.37337,0,"Major NCDs",2010,143900000,1,10
643,"Russian Federation",28.05896,0,"Major NCDs",2011,143900000,1,10
643,"Russian Federation",27.96239,0,"Major NCDs",2012,143900000,1,10
643,"Russian Federation",27.12993,0,"Major NCDs",2013,143900000,1,10
643,"Russian Federation",26.45488,0,"Major NCDs",2014,143900000,1,10
643,"Russian Federation",34.45419,0,"Major NCDs",2015,,1,10
643,"Russian Federation",33.73503,0,"Major NCDs",2016,,1,10
724,"Spain",13.47638,0,"Major NCDs",2000,46397664,2,16
724,"Spain",13.16877,0,"Major NCDs",2001,46397664,2,16
724,"Spain",12.9697,0,"Major NCDs",2002,46397664,2,16
724,"Spain",12.84304,0,"Major NCDs",2003,46397664,2,16
724,"Spain",12.35558,0,"Major NCDs",2004,46397664,2,16
724,"Spain",12.18719,0,"Major NCDs",2005,46397664,2,16
724,"Spain",11.68844,0,"Major NCDs",2006,46397664,2,16
724,"Spain",11.47902,0,"Major NCDs",2007,46397664,2,16
724,"Spain",11.12047,0,"Major NCDs",2008,46397664,2,16
724,"Spain",10.99779,0,"Major NCDs",2009,46397664,2,16
724,"Spain",10.73976,0,"Major NCDs",2010,46397664,2,16
724,"Spain",10.59358,0,"Major NCDs",2011,46397664,2,16
724,"Spain",10.57524,0,"Major NCDs",2012,46397664,2,16
724,"Spain",10.346,0,"Major NCDs",2013,46397664,2,16
724,"Spain",10.11045,0,"Major NCDs",2014,46397664,2,16
724,"Spain",12.74076,0,"Major NCDs",2015,,2,16
724,"Spain",12.51602,0,"Major NCDs",2016,,2,16
752,"Sweden",13.18935,0,"Major NCDs",2000,9763565,2,12
752,"Sweden",12.87253,0,"Major NCDs",2001,9763565,2,12
752,"Sweden",12.60032,0,"Major NCDs",2002,9763565,2,12
752,"Sweden",12.31055,0,"Major NCDs",2003,9763565,2,12
752,"Sweden",12.01658,0,"Major NCDs",2004,9763565,2,12
752,"Sweden",11.81927,0,"Major NCDs",2005,9763565,2,12
752,"Sweden",11.41552,0,"Major NCDs",2006,9763565,2,12
752,"Sweden",11.16709,0,"Major NCDs",2007,9763565,2,12
752,"Sweden",11.01977,0,"Major NCDs",2008,9763565,2,12
752,"Sweden",10.61747,0,"Major NCDs",2009,9763565,2,12
752,"Sweden",10.41751,0,"Major NCDs",2010,9763565,2,12
752,"Sweden",10.22714,0,"Major NCDs",2011,9763565,2,12
752,"Sweden",9.9335,0,"Major NCDs",2012,9763565,2,12
752,"Sweden",9.866951,0,"Major NCDs",2013,9763565,2,12
752,"Sweden",9.592862,0,"Major NCDs",2014,9763565,2,12
752,"Sweden",12.08135,0,"Major NCDs",2015,,2,12
752,"Sweden",11.99471,0,"Major NCDs",2016,,2,12
762,"Tajikistan",27.31434,0,"Major NCDs",2000,8548651,1,2
762,"Tajikistan",27.42828,0,"Major NCDs",2001,8548651,1,2
762,"Tajikistan",27.27105,0,"Major NCDs",2002,8548651,1,2
762,"Tajikistan",26.55275,0,"Major NCDs",2003,8548651,1,2
762,"Tajikistan",25.66783,0,"Major NCDs",2004,8548651,1,2
762,"Tajikistan",27.26264,0,"Major NCDs",2005,8548651,1,2
762,"Tajikistan",27.18933,0,"Major NCDs",2006,8548651,1,2
762,"Tajikistan",27.22375,0,"Major NCDs",2007,8548651,1,2
762,"Tajikistan",26.71677,0,"Major NCDs",2008,8548651,1,2
762,"Tajikistan",25.65922,0,"Major NCDs",2009,8548651,1,2
762,"Tajikistan",26.03891,0,"Major NCDs",2010,8548651,1,2
