year,risk,cause,country_code,country_label,area_code,area_label,select,hdi,cause_num,rank
2008,15.9104,"cvd",100,"Bulgaria",14,"Eastern Europe",1,2,2,22
2009,28.06586,"allncd",100,"Bulgaria",14,"Eastern Europe",1,2,0,22
2009,9.279876,"cancer",100,"Bulgaria",14,"Eastern Europe",1,2,1,22
2009,16.34924,"cvd",100,"Bulgaria",14,"Eastern Europe",1,2,2,22
2010,27.74755,"allncd",100,"Bulgaria",14,"Eastern Europe",1,2,0,22
2010,8.952134,"cancer",100,"Bulgaria",14,"Eastern Europe",1,2,1,22
2010,16.36286,"cvd",100,"Bulgaria",14,"Eastern Europe",1,2,2,22
2011,27.2429,"allncd",100,"Bulgaria",14,"Eastern Europe",1,2,0,22
2011,8.95687,"cancer",100,"Bulgaria",14,"Eastern Europe",1,2,1,22
2011,15.864,"cvd",100,"Bulgaria",14,"Eastern Europe",1,2,2,22
2012,26.61222,"allncd",100,"Bulgaria",14,"Eastern Europe",1,2,0,22
2012,9.371225,"cancer",100,"Bulgaria",14,"Eastern Europe",1,2,1,22
2012,14.90537,"cvd",100,"Bulgaria",14,"Eastern Europe",1,2,2,22
2013,26.19547,"allncd",100,"Bulgaria",14,"Eastern Europe",1,2,0,22
2013,9.283765,"cancer",100,"Bulgaria",14,"Eastern Europe",1,2,1,22
2013,14.5438,"cvd",100,"Bulgaria",14,"Eastern Europe",1,2,2,22
2014,27.2336,"allncd",100,"Bulgaria",14,"Eastern Europe",1,2,0,22
2014,9.239923,"cancer",100,"Bulgaria",14,"Eastern Europe",1,2,1,22
2014,15.35893,"cvd",100,"Bulgaria",14,"Eastern Europe",1,2,2,22
2015,26.83003,"allncd",100,"Bulgaria",14,"Eastern Europe",1,2,0,22
2015,9.228995,"cancer",100,"Bulgaria",14,"Eastern Europe",1,2,1,22
2015,14.88314,"cvd",100,"Bulgaria",14,"Eastern Europe",1,2,2,22
2016,26.91862,"allncd",100,"Bulgaria",14,"Eastern Europe",1,2,0,22
2016,8.803426,"cancer",100,"Bulgaria",14,"Eastern Europe",1,2,1,22
2016,15.20054,"cvd",100,"Bulgaria",14,"Eastern Europe",1,2,2,22
2017,26.99788,"allncd",100,"Bulgaria",14,"Eastern Europe",1,2,0,22
